"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2 - Daily Ice Extent by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
1858288,8770480.55,1025937.04,871381.39,1049693.3,688027.57,394050.97,147938.32,417731.06,63800.56,702120.85,195883.2,3213850.68,0,0,0,0,0
1858319,12020678.84,1061363.42,958779.67,1085864.77,892614.79,935113.3,627319.35,647710.66,657638.61,864497.59,725980.56,3216316.32,272321.97,0,75092.24,0,0
1858349,14080948.1,1061363.42,958779.67,1085864.77,892614.79,937165.12,807785.93,877459.44,946380.17,864497.59,1267354.07,3216316.32,594276.21,112413.47,458611.52,0,0
1859015,15653183.03,1061363.42,958779.67,1085864.77,892614.79,937165.12,860795.97,840943.58,1760007.59,864497.59,1267354.07,3213933.46,957953.79,91808.2,857997.04,0,866.16
1859046,16529555.92,1061363.42,958779.67,1085864.77,892614.79,937165.12,896135.45,938691,2032779.34,864497.59,1267354.07,3216316.32,935758.35,119324.45,1321103.15,0,0
1859074,16506500.45,1061907.23,958779.67,1085864.77,887794.9,925237.15,1031875,1267946.41,1780822.54,863327.56,1265801.17,3215959.05,1265873.63,171536.47,723709.3,0,0
1859105,16356509.15,1061907.23,958779.67,1085864.77,888230.14,925237.15,1036753.77,1310683.3,1652068.03,863327.56,1265801.17,3215959.05,1241649.23,137083.72,713098.76,0,0
1859135,15963699.47,1061907.23,958779.67,1085864.77,888012.52,925237.15,1019035.12,1218482.52,1517180.5,863327.56,1265801.17,3215959.05,1315206.13,35059.24,593781.24,0,0
1859166,14481763.74,1061907.23,932581.52,1085864.77,888012.52,925237.15,746427.48,1023758.11,1283791.26,863327.56,1266116.68,3215959.05,939443.82,0,249270.99,0,0
1859196,12248907.14,1061635.32,924856.73,1085864.77,885839.57,798220.26,368332.61,666119.69,1001628.68,846741.4,1221362.96,3212643.52,175596.03,0,0,0,0
1859227,9966992.62,1061907.23,812144.33,1082636.62,885436.68,620532.19,261153.46,536925.52,417683.97,820770.45,237276.12,3215959.05,1568.31,0,12933.09,0,0
1859258,9135462.54,1040442.68,770876.73,1068768.05,774462.01,465531.28,184609.19,465146.21,137892.05,814091.97,197950.76,3213989.7,1636.31,0,0,0,0
1859288,10310838.53,1061907.23,828706.28,1085864.77,887148.51,839947.22,362559.27,573798.54,394793.56,862552.96,178891.47,3215959.05,18644.07,0,0,0,0
1859319,11761714.99,1061363.42,926072.76,1085864.77,892614.79,936396.88,660964.77,643436.56,718273.67,864497.59,599186.56,3216316.32,110322.15,0,46339.15,0,0
1859349,14451121.15,1061363.42,958779.67,1085864.77,892614.79,937165.12,972764.86,917576.74,1123825.08,864497.59,1267354.07,3216316.32,530772.73,99376.71,522783.69,0,0
1860015,15824618.06,1061363.42,958779.67,1085864.77,892614.79,937165.12,975231.71,1016210,1758486.53,864497.59,1267354.07,3216316.32,723814.03,89467.55,976214.68,0,0
1860046,16699535.95,1061363.42,958779.67,1085864.77,892614.79,937165.12,949231.56,1056884.94,2037860.03,864497.59,1267354.07,3216316.32,921496.88,130705.66,1315277.15,0,0
1860075,16500548.92,1061907.23,958779.67,1085864.77,887794.9,925237.15,1012764.77,1267424.6,1796344.16,863327.56,1265801.17,3215959.05,1262128.93,166360.94,730788.42,0,0
1860106,16329235.8,1061907.23,958779.67,1085864.77,888012.52,925237.15,1103627,1279992.96,1609227.62,863327.56,1265801.17,3215959.05,1241174.88,148706.6,681552.01,0,0
1860136,16028099.89,1061907.23,958779.67,1085864.77,888012.52,925237.15,1058675.83,1197619.56,1550722.4,863327.56,1265801.17,3215959.05,1314247.42,35742.07,606137.89,0,0
1860167,14702868.47,1061907.23,918568.04,1085864.77,888012.52,926474.54,660893.56,1108354.88,1228713.85,863327.56,1265801.17,3215959.05,1076427.44,0,402498.26,0,0
1860197,11761332.55,1059839.59,935709.78,1085864.77,867342.83,877113.4,389076.76,564311.35,621978.21,858695.35,1183914.36,3213539.66,95861.86,0,8019.05,0,0
1860228,9119749.71,1015409.54,759023.82,1022168.97,598180.9,561103.6,138248.35,443120.89,293839.47,825905.65,256237.24,3203317.33,0,0,3128.37,0,0
1860259,8734017.38,1047392.47,773023.6,1083762.25,689845.61,352114.71,28647.85,391893.11,182696.86,788835.68,186804.84,3207054.06,1880.74,0,0,0,0
1860289,10331157.78,1061635.32,837420.29,1085864.77,887148.51,882345.94,346420.1,488379.55,490542.07,860041.46,170152.92,3215959.05,5182.21,0,0,0,0
1860320,11761714.99,1061363.42,926072.76,1085864.77,892614.79,936396.88,660964.77,643436.56,718273.67,864497.59,599186.56,3216316.32,110322.15,0,46339.15,0,0
1860350,14451121.15,1061363.42,958779.67,1085864.77,892614.79,937165.12,972764.86,917576.74,1123825.08,864497.59,1267354.07,3216316.32,530772.73,99376.71,522783.69,0,0
1861015,15653183.03,1061363.42,958779.67,1085864.77,892614.79,937165.12,860795.97,840943.58,1760007.59,864497.59,1267354.07,3213933.46,957953.79,91808.2,857997.04,0,866.16
1861046,16529555.92,1061363.42,958779.67,1085864.77,892614.79,937165.12,896135.45,938691,2032779.34,864497.59,1267354.07,3216316.32,935758.35,119324.45,1321103.15,0,0
1861074,16466750.88,1061907.23,958779.67,1085864.77,887794.9,925237.15,1025017.96,1251944.68,1790092.49,863327.56,1265801.17,3215959.05,1255975.17,158065.57,720917.91,0,0
1861105,16335535.28,1061907.23,958779.67,1085864.77,892614.79,925237.15,1017821.08,1264840.27,1598098.95,863327.56,1265801.17,3215959.05,1261768.68,140229.55,783219.75,0,0
1861135,15814635.57,1061907.23,958779.67,1085864.77,888012.52,925237.15,993654.83,1158463.56,1448254.4,863327.56,1265801.17,3215959.05,1376334.7,32176.62,540796.74,0,0
1861166,14627283.82,1061907.23,943209.43,1085864.77,888012.52,925237.15,773873.32,1040459.21,1357821.97,863327.56,1266116.68,3215959.05,958726.53,0,246702.8,0,0
1861196,13013052.42,1061907.23,958779.67,1085864.77,887148.51,913562.9,562001.45,1016636.34,886503.96,832790.44,1140341.78,3215959.05,221381.8,0,230108.92,0,0
1861227,8963889.66,1034157.84,819268.06,1056848.9,649453.11,506494.98,186078.64,351197.76,125994.75,798683.98,220966.19,3208875.73,0,0,5804.12,0,0
1861258,9128969.45,1027049.9,816676.14,1061102.38,762019.54,498085.1,199772.44,481446.99,113630.07,777912.68,169412.38,3214545.75,7250.48,0,0,0,0
1861288,10538523.24,1061907.23,852545.92,1085864.77,888012.52,739717.61,343351.45,626539.76,511541.79,863327.56,259986.83,3215959.05,89703.15,0,0,0,0
1861319,11739303.95,1061363.42,958779.67,1085864.77,892614.79,937165.12,685867.61,692562.59,652473.24,864497.59,473684.78,3216316.32,132683.75,0,85364.72,0,0
1861349,14373027.13,1061363.42,958779.67,1085864.77,892614.79,937165.12,977552.15,932402.04,962612.52,864497.59,1267354.07,3216316.32,594015.34,98992.2,523431.53,0,0
